eic_p,eic_g,type_g,cyear,Generation,cf,time_coverage,co2emitted
18WABO1-12345-0X,18WABO1-12345-D7,Fossil Hard coal,2015,1872563.0,0.626,1.0,1940210000.0
18WABO2-12345-0N,18WABO2-12345-DY,Fossil Hard coal,2015,4056615.0,0.864,1.0,3842890000.0
48WSTN0000ABTHBN,48W0000000ABTH7Y,Fossil Hard coal,2015,2216884.0,0.617,0.767,2625680000.0
48WSTN000ABTHGTK,48W000000ABTH7G2,Fossil Oil,2015,12.0,0.706,0.0,13092.9
48WSTN0000ABTHBN,48W0000000ABTH8W,Fossil Hard coal,2015,2308023.0,0.622,0.791,2733620000.0
48WSTN000ABTHGTK,48W100000ABTH8GN,Fossil Oil,2015,17.0,0.5,0.0,18548.3
48WSTN0000ABTHBN,48W0000000ABTH9U,Fossil Hard coal,2015,601024.0,0.475,0.278,711853000.0
48WSTN000ABTHGTK,48W000000ABTH9GX,Fossil Oil,2015,15.0,0.441,0.0,16366.2
14W-BAA-KW-----D,14W-BAA-TU-----T,Hydro Run-of-river and poundage,2015,940650.0,0.646,0.989,0.0
46WPU0000000063L,46WGU00000000127,Biomass,2015,0.0,0.0,0.869,
18WACE3-12345-00,18WACE3-12345-CD,Fossil Gas,2015,485679.0,0.144,1.0,188294000.0
18WACE4-12345-0R,18WACE4-12345-C3,Fossil Gas,2015,808554.0,0.248,1.0,313470000.0
19W000000000005K,19W000000000007G,Fossil Brown coal/Lignite,2015,571838.0,0.545,0.997,752767000.0
19W000000000005K,19W000000000009C,Fossil Brown coal/Lignite,2015,654867.0,0.625,0.997,862067000.0
19W000000000005K,19W000000000011P,Fossil Brown coal/Lignite,2015,556651.0,0.531,0.997,732775000.0
19W000000000005K,19W000000000013L,Fossil Brown coal/Lignite,2015,603293.0,0.575,0.997,794175000.0
19W000000000005K,19W000000000015H,Fossil Brown coal/Lignite,2015,576153.0,0.55,0.997,758448000.0
47W000000000164J,47W0000000001796,Fossil Gas,2015,2849.0,0.016,0.219,
47W000000000164J,47W000000000180L,Fossil Gas,2015,1468.0,0.008,0.219,
47W000000000164J,47W000000000181J,Fossil Gas,2015,792.0,0.005,0.219,
47W000000000164J,47W000000000087B,Fossil Gas,2015,0.0,0.0,0.975,
47W000000000164J,47W0000000001032,Fossil Gas,2015,907486.0,0.232,0.975,
16WAGUIE-------3,16WAGUIE1------O,Hydro Pumped Storage,2015,86857.0,0.089,0.997,0.0
16WAGUIE-------3,16WAGUIE2------G,Hydro Pumped Storage,2015,75702.0,0.077,0.997,0.0
16WAGUIE-------3,16WAGUIE3------8,Hydro Pumped Storage,2015,79203.0,0.081,0.997,0.0
29WAISAGDIMI-I-M,29WGU-AGDIMI-I-8,Fossil Brown coal/Lignite,2015,1494973.0,0.633,0.984,2174290000.0
29WAISAGDIMI-IIL,29WGU-AGDIMI-II7,Fossil Brown coal/Lignite,2015,1475062.0,0.625,0.984,2145330000.0
29WAISAGDIMIIIIJ,29WGU-AGDIMIIII5,Fossil Brown coal/Lignite,2015,1664481.0,0.683,0.984,2420820000.0
29WAISAGDIMI-IVW,29WGU-AGDIMI-IVI,Fossil Brown coal/Lignite,2015,1168985.0,0.479,0.984,1700170000.0
29WAISAGDIMI-V-K,29WGU-AGDIMI-V-6,Fossil Brown coal/Lignite,2015,1506082.0,0.511,0.984,2190450000.0
29WAISAGGEORGI8V,29WGU-AISGEORG80,Fossil Gas,2015,0.0,0.0,0.984,0.0
29WAISAGGEORGI9T,29WGU-AISGEORG9Z,Fossil Gas,2015,0.0,0.0,0.984,0.0
17W100P100P0279Z,17W100P100P0051S,Hydro Water Reservoir,2015,137395.0,0.107,1.0,0.0
18WDUER-12345-0N,18WAL11-12345-AZ,Hydro Water Reservoir,2015,390238.0,0.335,1.0,0.0
18WDUER-12345-0N,18WAL12-12345-AP,Hydro Water Reservoir,2015,189496.0,0.163,1.0,0.0
18WDUER-12345-0N,18WAL13-12345-AF,Hydro Water Reservoir,2015,364066.0,0.312,1.0,0.0
18WDUER-12345-0N,18WAL14-12345-A5,Hydro Water Reservoir,2015,449545.0,0.386,1.0,0.0
18WDUER-12345-0N,18WAL15-12345-AW,Hydro Water Reservoir,2015,332340.0,0.288,1.0,0.0
18WDUER-12345-0N,18WAL16-12345-AM,Hydro Water Reservoir,2015,376682.0,0.32,1.0,0.0
18WDUER-12345-0N,18WAL21-12345-AO,Hydro Water Reservoir,2015,142333.0,0.075,1.0,0.0
18WDUER-12345-0N,18WAL22-12345-AE,Hydro Water Reservoir,2015,6953.0,0.004,1.0,0.0
18WALG3-12345--K,18WALG3TG1-123-9,Fossil Gas,2015,193622.0,0.078,1.0,72285500.0
18WALG3-12345--K,18WALG3TG2-123-2,Fossil Gas,2015,76029.0,0.031,1.0,28384200.0
18WALG3-12345--K,18WALG3TV1-123-0,Fossil Gas,2015,146299.0,0.065,1.0,54618300.0
44W-T-YT-000000S,44W-T-YT-100021D,Fossil Peat,2015,604494.0,0.291,0.987,
29WAISALIVERI-37,29WGU-ALIVERI-3U,Fossil Oil,2015,0.0,0.0,0.984,0.0
29WAISALIVERI-45,29WGU-ALIVERI-4S,Fossil Oil,2015,47.0,0.0,0.984,34013.5
29WAISALIVERI-53,29WGU-ALIVERI-5Q,Fossil Gas,2015,1772914.0,0.493,0.984,670764000.0
18WALZ1-12345-0E,18WALZ1-12345-BT,Nuclear,2015,8412832.0,0.95,1.0,0.0
18WALZ2-12345-04,18WALZ2-12345-BJ,Nuclear,2015,7614141.0,0.864,1.0,0.0
29WALOUMINIO---B,29WGU-ALOUMINIOF,Fossil Gas,2015,1164976.0,0.405,0.984,507828000.0
16WALQUE-------F,16W-ALQUE1-----X,Hydro Pumped Storage,2015,193632.0,0.175,0.997,0.0
16WALQUE-------F,16W-ALQUE2-----Q,Hydro Pumped Storage,2015,171218.0,0.154,0.997,0.0
16WALQUE-------F,16W-ALQUE3-----J,Hydro Pumped Storage,2015,0.0,0.0,0.003,0.0
16WALQUE-------F,16W-ALQUE4-----C,Hydro Pumped Storage,2015,485.0,0.153,0.003,0.0
14W-BAW-KW-----F,14W-BAW-TU-----V,Hydro Run-of-river and poundage,2015,1767716.0,0.622,0.989,0.0
16WALINDO------J,16WALINDO1-----5,Hydro Water Reservoir,2015,228467.0,0.083,0.997,0.0
16WALINDO------J,16WALINDO2-----Z,Hydro Water Reservoir,2015,202314.0,0.074,0.997,0.0
45W000000000013X,45W000000000034P,Fossil Hard coal,2015,851267.0,0.389,1.0,874793000.0
18WAMBIETA-12-0S,18WAMBITG1-12--P,Fossil Gas,2015,317759.0,0.144,1.0,123193000.0
18WAMBIETA-12-0S,18WAMBITG2-12-CT,Fossil Gas,2015,175156.0,0.079,1.0,67906600.0
18WAMBIETA-12-0S,18WAMBITV-123-CK,Fossil Gas,2015,278771.0,0.113,1.0,108077000.0
49W000000000070Z,49W000000000001H,Fossil Hard coal,2015,2762000.0,0.526,0.981,2477950000.0
49W000000000070Z,49W000000000002F,Fossil Hard coal,2015,3679473.0,0.66,0.989,3216430000.0
22WAMERCO000010Y,22WAMERCO000008L,Fossil Gas,2015,1482959.0,0.586,1.0,541825000.0
22WAMERCO000010Y,22WAMERCO000009J,Fossil Gas,2015,925064.0,0.652,1.0,344247000.0
17W100P100P03493,17W100P100P03477,Fossil Gas,2015,641601.0,0.611,1.0,282695000.0
17W100P100P0353C,17W100P100P03485,Fossil Gas,2015,749638.0,0.713,1.0,330297000.0
29WAISAMYNT-I--L,29WGU-AMYNT-I--7,Fossil Brown coal/Lignite,2015,1104922.0,0.47,0.984,1662410000.0
29WAISAMYNT-II-1,29WGU-AMYNT-II-O,Fossil Brown coal/Lignite,2015,1338882.0,0.569,0.984,2014420000.0
45W000000000022W,45W000000000046I,Wind Offshore,2015,1630850.0,0.466,1.0,0.0
18WALL1-12345-0K,18WALL1-12345-DV,Fossil Hard coal,2015,704347.0,0.232,1.0,729792000.0
48WSTN0000ANSUWY,48W00000ANSUW-1E,Wind Onshore,2015,26739.0,0.244,0.659,0.0
17W100P100P0247B,17W100P100P0028N,Fossil Oil,2015,33332.0,0.006,1.0,25799000.0
17W100P100P02489,17W100P100P0029L,Fossil Oil,2015,30277.0,0.005,1.0,23434400.0
18WARCOS3-123-0Z,18WARC3TG1-12-C4,Fossil Gas,2015,49453.0,0.022,1.0,18126800.0
18WARCOS3-123-0Z,18WARC3TG2-12-CY,Fossil Gas,2015,74223.0,0.032,1.0,27206100.0
18WARCOS3-123-0Z,18WARC3TV-123-CP,Fossil Gas,2015,74515.0,0.029,1.0,29455300.0
48WSTN0000ARCHW6,48W10000ARCHW-1N,Wind Onshore,2015,194078.0,0.218,0.845,0.0
18WARCOS1-123-0E,18WARCOS1-123-CR,Fossil Gas,2015,40.0,0.0,1.0,15507.7
18WARCOS2-123-06,18WARCOS2-123-CJ,Fossil Gas,2015,1.0,0.0,1.0,387.692
47W000000000230W,47W000000000182H,Hydro Run-of-river and poundage,2015,24629.0,0.611,0.219,0.0
47W000000000230W,47W000000000183F,Hydro Run-of-river and poundage,2015,29733.0,0.704,0.219,0.0
47W000000000230W,47W000000000184D,Hydro Run-of-river and poundage,2015,24041.0,0.659,0.219,0.0
47W000000000230W,47W000000000185B,Hydro Run-of-river and poundage,2015,29458.0,0.639,0.219,0.0
17W100P100P0255C,17W100P100P0031Y,Fossil Oil,2015,4989.0,0.005,1.0,4088630.0
17W100P100P0256A,17W100P100P0032W,Fossil Oil,2015,4630.0,0.004,1.0,3794420.0
14W-BAS-KW-----I,14W-BAS-TU-----Y,Hydro Run-of-river and poundage,2015,1475516.0,0.593,0.989,0.0
18WASC1-12345-0Z,18WASC1-12345-BD,Nuclear,2015,7380902.0,0.846,1.0,0.0
18WASC2-12345-0P,18WASC2-12345-B3,Nuclear,2015,8421280.0,0.969,1.0,0.0
45W000000000012Z,45W000000000032T,Fossil Hard coal,2015,322602.0,0.251,1.0,437603000.0
45W000000000012Z,45W000000000033R,Fossil Hard coal,2015,151186.0,0.027,1.0,155364000.0
